Entry Date,Entry Stop,Fare,Mode,Type,Route/Vehicle #
"Apr 5, 2026 11:35 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 4, 2026 5:15 PM",W Rittenhouse Square & Locust St,$0.00,Bus,Single Trip,999/7476
"Apr 4, 2026 2:11 PM",Ellsworth-Federal,$0.00,Subway,Transfer,B1/-
"Apr 4, 2026 1:16 PM",Fairmount,$0.00,Subway,Transfer,B1/-
"Apr 4, 2026 12:47 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Apr 3, 2026 2:37 PM",W Rittenhouse Square & Locust St,$0.00,Bus,Transfer,17/7466
"Apr 3, 2026 2:14 PM",Market St & 13th St,$0.00,Bus,Transfer,17/7477
"Apr 3, 2026 1:43 PM",Spring Garden,$0.00,Subway,Single Trip,L1/-
"Apr 1, 2026 10:33 AM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 31, 2026 9:16 PM",NRG Station,$0.00,Subway,Single Trip,B1/-
"Mar 31, 2026 5:49 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 31, 2026 2:34 PM",11th St & Chestnut St,$0.00,Bus,Single Trip,45/3117
"Mar 31, 2026 11:08 AM",11th St & Walnut St,$0.00,Bus,Single Trip,45/3591
"Mar 31, 2026 10:12 AM",JFK Blvd & 15th St,$0.00,Bus,Transfer,38/3024
"Mar 31, 2026 8:16 AM",Passyunk Av & Dickinson St,$0.00,Bus,Single Trip,45/8464
"Mar 30, 2026 8:05 PM",NRG Station,$0.00,Subway,Single Trip,B1/-
"Mar 30, 2026 5:17 PM",Tasker-Morris,$0.00,Subway,Single Trip,B1/-
"Mar 29, 2026 5:56 PM",Broad St & Dickinson St,$0.00,Bus,Transfer,4/3579
"Mar 29, 2026 5:19 PM",15th St/City Hall,$0.00,Subway,Single Trip,L1/-
"Mar 29, 2026 4:10 PM",Tasker-Morris,$0.00,Subway,Transfer,B1/-
"Mar 29, 2026 2:32 PM",Walnut-Locust,$0.00,Subway,Single Trip,B1/-
